; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 82.54093
; amorphous boron: N0 = 2.51900
; amorphous boron: N1 = 5982.40000
; amorphous boron: N2 = -8881.40000
; amorphous boron: K0 = -0.42700
; amorphous boron: K1 = 4236.06100
; amorphous boron: K2 = -7917.63300
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
496.51474 32.91517 166.74609 26.58037 151.41919 18.56244 122.73309
497.36932 33.27461 164.49924 26.47997 150.60506 19.04741 123.03373
498.22388 32.72389 165.25949 26.64636 151.73198 18.26826 123.41497
499.07846 33.81591 164.68806 26.68430 151.79517 19.02852 125.13786
499.93304 33.59698 163.77489 26.52012 151.56770 19.51632 123.73785
500.78760 33.83689 164.88106 27.19308 151.30051 19.68046 123.22085
501.64218 33.66765 164.91911 27.06621 151.54601 19.84522 124.02780
502.49677 33.70913 164.44612 27.18864 151.65733 19.56751 124.94855
503.35132 33.86524 166.12292 26.70053 152.19795 19.45918 127.12587
504.20590 34.39404 164.32286 27.52837 152.13977 19.68276 125.69194
505.06049 34.11120 163.77193 27.40691 153.37102 20.27529 125.05717
505.91504 33.53848 164.16771 27.37782 152.35481 19.68872 126.93897
506.76962 33.35223 164.59767 27.68336 151.59792 19.57756 127.48560
507.62421 34.75023 164.86017 27.44747 152.10956 19.40419 126.65674
508.47876 34.49163 165.45786 28.16966 152.20990 19.10276 127.61525
509.33334 34.21007 165.99907 28.06999 153.41623 20.56227 127.24402
510.18793 33.67768 164.87448 28.40697 153.40804 20.95357 126.70330
511.04248 33.98537 165.24747 28.29084 153.75221 20.45596 128.84996
511.89706 34.58493 164.23320 28.24861 152.91646 20.31032 129.27484
512.75165 34.64886 165.76241 28.19089 152.75249 20.73916 127.89318
513.60620 34.05064 166.15068 28.19964 152.93770 20.54189 128.71983
514.46082 34.93937 164.41638 28.18925 153.08566 21.70935 128.59286
515.31537 34.88329 165.96809 28.05019 153.61461 21.05406 129.21286
516.16992 35.08166 167.02478 28.22463 154.26453 20.66121 131.16092
517.02454 33.96928 164.46790 28.69741 153.94188 21.34325 129.34042
517.87909 35.29421 164.20166 28.47268 154.32613 21.22003 129.79773
518.73364 35.45457 167.35815 28.76924 154.60062 20.46801 130.52127
519.58826 35.41629 166.15559 28.82678 153.19693 21.63244 131.57666
520.44281 35.19321 166.40929 28.89940 154.46198 21.29933 131.76648
521.29736 35.44997 166.83269 28.87593 154.81096 21.72246 131.47597
522.15198 35.01893 166.04915 29.57691 155.44696 21.04164 134.97812
523.00653 35.87709 165.63211 29.39873 154.22639 21.85682 132.48959
523.86108 35.14816 166.16508 30.15704 155.27988 20.84879 134.03743
524.71570 35.18974 166.80435 29.41583 155.45267 21.44534 133.14110
525.57025 35.51410 167.06636 29.39101 155.72105 20.95993 134.43285
526.42480 35.10697 166.02153 29.17754 154.14572 21.60352 133.49387
527.27942 34.99526 166.16672 29.58005 156.08325 21.43099 134.68317
528.13397 35.37712 165.83653 29.73413 154.85225 22.64010 133.30824
528.98853 35.72188 167.13440 29.66880 155.15359 22.51295 134.86990
529.84314 35.87363 166.86887 29.99554 155.47862 21.88510 136.45027
530.69769 35.77471 165.63435 29.90099 155.90567 21.99266 134.85292
531.55225 36.45297 166.52377 29.68117 155.77774 22.14604 135.78168
532.40686 36.23829 166.12206 30.31857 155.62173 21.83094 137.71082
533.26141 35.95597 165.93301 30.00371 156.07907 22.58135 136.22333
534.11597 35.15903 167.15463 30.25037 156.86462 22.64307 136.30342
534.97058 35.91024 166.93703 30.15198 157.38104 22.63738 136.62541
535.82513 36.21463 167.71408 30.30519 157.03036 22.43863 137.67017
536.67969 36.05011 167.94269 30.27845 157.09315 22.63651 138.89162
537.53430 36.29200 168.24902 30.50348 157.36903 22.66796 137.92896
538.38885 36.13200 167.97333 30.56594 157.54842 22.60187 138.67197
539.24341 36.33735 167.09412 30.75166 157.57996 22.60796 138.73010
540.09802 36.77589 167.68567 30.60732 157.51053 22.97687 138.52977
