; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorf boor: Thickness [nm] = 91.25912
; amorf boor: N0 = 2.57600
; amorf boor: N1 = 3675.50000
; amorf boor: N2 = -5430.70000
; amorf boor: K0 = 0.02000
; amorf boor: K1 = 215.26800
; amorf boor: K2 = 453.97200
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
496.51474 33.80159 164.07335 26.95715 152.42822 20.02932 125.56766
497.36932 33.51811 165.48877 27.26005 152.95717 20.10004 126.75560
498.22388 33.81373 164.47865 27.67252 151.91154 19.67259 126.25232
499.07846 34.31814 165.25336 27.91689 153.56775 20.13881 127.03088
499.93304 34.06986 163.85416 27.51785 152.71809 19.64299 127.90533
500.78760 34.93871 165.09073 27.49555 153.46930 20.58161 127.12596
501.64218 34.75849 164.19846 27.79776 153.49965 20.28146 128.27589
502.49677 34.56187 163.03015 28.30535 153.42479 20.65997 128.13034
503.35132 34.48822 165.77582 28.10243 153.10373 19.10652 131.18967
504.20590 34.31018 164.85172 28.46404 154.13423 20.34344 128.36536
505.06049 34.97908 164.88806 28.30002 153.87505 21.31829 127.34233
505.91504 34.02961 166.47603 28.40442 154.28630 20.27992 129.98016
506.76962 34.89325 167.34180 28.49456 153.86362 21.06038 129.68323
507.62421 35.63178 164.63728 28.63083 153.25148 20.62587 129.99557
508.47876 36.03329 164.41304 28.65677 154.54619 20.97624 129.21513
509.33334 34.57848 166.11200 28.52944 154.38988 20.78874 132.53969
510.18793 34.81480 163.53349 28.64172 153.18956 21.00868 130.14815
511.04248 35.14054 165.24937 28.96687 154.72408 20.90185 129.79964
511.89706 33.78312 166.29112 28.19154 154.32455 21.00918 131.20267
512.75165 35.49132 164.85075 29.08131 153.67073 21.23809 132.91635
513.60620 34.67782 168.01930 28.94483 155.16907 21.89160 130.87488
514.46082 34.74195 166.78572 29.01041 155.62717 20.90281 134.53258
515.31537 35.67629 160.39899 28.87952 155.59601 21.48596 132.13460
516.16992 34.76204 167.30693 29.70616 155.46846 21.23795 135.58958
517.02454 36.93147 162.73280 29.55879 154.53741 21.38393 134.33601
517.87909 35.70724 167.27856 29.52581 155.40923 21.82684 134.57295
518.73364 35.45564 168.00691 29.11617 154.87964 22.29414 132.86002
519.58826 34.98357 164.51308 29.45784 156.32434 21.85738 134.09334
520.44281 35.27314 165.03444 29.68513 155.86855 21.93326 135.99846
521.29736 35.39765 167.08310 29.58321 155.37120 21.78602 134.86287
522.15198 35.49847 166.74507 29.70200 155.08128 22.19104 133.71175
523.00653 35.06772 166.47157 29.69268 155.83138 22.09112 136.39345
523.86108 35.33966 167.36833 29.43352 156.66457 21.94672 137.32590
524.71570 35.73793 166.37358 30.20643 156.20143 21.86641 138.24870
525.57025 35.67564 168.07880 30.04444 155.97820 21.67423 139.28543
526.42480 36.29271 166.00954 29.93164 156.55566 22.29155 136.47397
527.27942 36.38411 163.84586 30.29157 156.82468 22.31760 138.44276
528.13397 37.04454 167.41721 30.44614 157.51839 22.44755 137.38306
528.98853 35.85369 169.40285 30.63480 157.28026 22.53911 138.32419
529.84314 36.51414 168.01556 30.42392 156.82666 22.38117 138.77518
530.69769 35.95635 164.52226 30.15116 158.16855 23.28117 138.43694
531.55225 36.35249 167.70877 30.60476 157.63153 22.94429 138.08830
532.40686 36.36848 167.24797 30.50718 158.03505 23.25386 138.64680
533.26141 36.65522 165.94460 30.34980 157.27650 22.65551 141.06952
534.11597 36.74263 168.71019 30.47673 158.17628 22.74900 139.97005
534.97058 35.99334 167.01572 30.88586 158.58478 23.18901 140.09874
535.82513 36.84700 167.63846 30.93569 158.73109 22.83711 141.03030
536.67969 36.62277 167.91023 30.78438 159.01900 22.99188 140.69164
537.53430 36.31194 166.63628 30.67428 158.79446 23.40141 140.46732
538.38885 36.40606 169.16162 30.88874 159.46338 23.42215 140.66945
539.24341 36.39578 169.77025 31.04223 159.68613 23.40500 141.49088
540.09802 36.16798 168.22917 30.85709 159.59586 23.12279 142.18208
540.95258 36.82790 165.91557 30.90136 159.58183 23.18195 141.91371
541.80713 37.13534 167.16278 31.17402 159.57054 23.13010 142.55884
542.66174 37.27303 165.27118 31.29242 159.75415 23.82324 144.14574
543.51630 36.34975 168.42572 31.28273 160.44592 23.48697 142.29411
544.37085 36.69944 167.06326 31.53186 160.03067 23.49790 144.09196
545.22546 37.24233 169.01111 31.34264 160.24219 23.99682 143.55728
546.08002 35.90723 169.75278 31.63461 161.09027 23.81797 144.67833
546.95477 36.30080 166.78566 31.46669 160.15845 23.81206 144.37231
547.82953 36.44118 167.07800 31.66533 161.36031 24.07130 143.32074
548.70435 37.25332 168.86943 31.57273 160.90938 23.94189 145.20363
549.57910 36.59351 169.52129 31.47263 160.81792 23.94571 145.42218
550.45386 37.26324 170.01900 31.83640 161.44530 23.82600 146.24867
551.32861 37.48790 167.66605 31.87795 160.57251 24.03674 145.90173
552.20337 37.04300 168.14842 31.81758 161.97751 24.12769 146.51630
553.07813 36.74197 169.58922 31.88665 161.68129 23.77110 146.35854
553.95294 37.54621 167.45779 32.00300 161.57739 24.13828 147.21112
554.82770 36.77297 168.33014 31.77809 161.22639 23.92646 148.02115
555.70245 36.62099 168.88380 32.04925 161.88506 24.33969 147.20784
556.57721 37.10505 168.81609 32.33761 161.75806 24.31607 147.94890
557.45197 37.03194 168.05849 32.10355 162.15463 24.40912 147.74561
558.32678 36.97843 169.55611 31.70342 161.99004 24.02858 148.42947
559.20154 36.92629 169.27963 32.03958 162.45526 24.49061 148.07658
560.07629 38.42225 169.27177 32.20810 162.45041 24.73634 148.49754
560.95105 38.33879 168.75790 32.26078 163.09265 24.63378 148.68741
561.82581 37.21278 168.79185 32.44616 162.97778 24.17707 149.76726
562.70062 37.38931 170.09474 32.22889 163.26581 24.62298 150.82521
563.57538 35.86723 169.53067 32.16878 162.82776 24.66530 149.87910
564.45013 37.65152 170.02164 32.43934 163.13025 24.63991 150.86469
565.32489 38.07139 172.23999 32.42768 163.36667 24.89836 150.37306
566.19965 38.17614 170.91878 32.47650 163.47798 24.62559 150.61873
567.07440 37.27078 170.73393 32.17285 164.86513 24.70599 151.33994
567.94922 37.63811 170.43025 32.61187 164.27034 24.87744 151.89398
568.82397 37.49860 169.22775 32.37676 163.97467 25.02432 151.53165
569.69873 37.64481 169.21529 32.55870 164.43178 24.56579 152.50876
570.57349 38.36942 169.07855 32.75951 164.14003 25.01522 152.07072
571.44824 36.86059 169.93291 32.62550 164.79846 24.80066 152.73059
572.32306 37.72878 170.04771 32.71646 164.06300 24.98890 153.31598
573.19781 37.00352 169.10245 32.72672 164.91534 25.06119 153.07097
574.07257 36.96486 171.10039 32.93428 164.65968 25.17183 153.10692
574.94733 37.51811 171.20013 32.76614 164.94771 25.05213 153.97893
575.82208 37.59346 168.87840 32.91722 165.46887 25.09019 153.66885
576.69690 37.41169 171.84201 32.79770 165.72725 25.12605 153.95801
577.57166 37.44653 169.52840 32.86526 166.32649 24.86739 153.65271
578.44641 38.28629 170.65059 33.20257 165.55553 25.36969 154.57965
579.32117 36.83018 171.87543 32.97151 166.03778 25.42673 155.30656
580.19592 37.19851 171.02264 32.79626 166.08667 25.41945 155.74097
581.07068 37.97595 169.93533 33.16717 166.30063 25.23284 155.95827
581.94550 37.79978 171.34134 32.85817 166.61203 25.20133 155.73186
