; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 92.07656
; amorphous boron: N0 = 2.54600
; amorphous boron: N1 = 4017.90000
; amorphous boron: N2 = -5964.50000
; amorphous boron: K0 = -0.00200
; amorphous boron: K1 = -352.24300
; amorphous boron: K2 = -253.47100
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
;
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
496.514740	32.915169	166.746094	26.580370	151.419189	18.562441	122.733093
497.369324	33.274609	164.499237	26.479971	150.605057	19.047409	123.033730
498.223877	32.723888	165.259491	26.646360	151.731979	18.268259	123.414970
499.078461	33.815910	164.688065	26.684299	151.795166	19.028521	125.137863
499.933044	33.596981	163.774887	26.520121	151.567703	19.516319	123.737846
500.787598	33.836891	164.881058	27.193081	151.300507	19.680460	123.220848
501.642181	33.667648	164.919113	27.066210	151.546005	19.845221	124.027802
502.496765	33.709129	164.446121	27.188641	151.657333	19.567511	124.948547
503.351318	33.865238	166.122925	26.700529	152.197952	19.459181	127.125870
504.205902	34.394039	164.322861	27.528370	152.139771	19.682760	125.691940
505.060486	34.111198	163.771927	27.406910	153.371017	20.275290	125.057167
505.915039	33.538479	164.167709	27.377819	152.354813	19.688721	126.938972
506.769623	33.352230	164.597672	27.683359	151.597916	19.577560	127.485603
507.624207	34.750229	164.860168	27.447470	152.109558	19.404190	126.656738
508.478760	34.491631	165.457855	28.169661	152.209900	19.102760	127.615250
509.333344	34.210072	165.999069	28.069990	153.416229	20.562269	127.244019
510.187927	33.677681	164.874481	28.406969	153.408035	20.953569	126.703300
511.042480	33.985371	165.247467	28.290840	153.752213	20.455959	128.849960
511.897064	34.584930	164.233200	28.248610	152.916458	20.310320	129.274841
512.751648	34.648861	165.762405	28.190889	152.752487	20.739161	127.893181
513.606201	34.050640	166.150681	28.199640	152.937698	20.541889	128.719833
514.460815	34.939369	164.416382	28.189251	153.085663	21.709351	128.592865
515.315369	34.883289	165.968094	28.050190	153.614609	21.054060	129.212860
516.169922	35.081661	167.024780	28.224630	154.264526	20.661209	131.160919
517.024536	33.969280	164.467896	28.697411	153.941879	21.343250	129.340424
517.879089	35.294209	164.201660	28.472679	154.326126	21.220030	129.797729
518.733643	35.454571	167.358154	28.769239	154.600616	20.468010	130.521271
519.588257	35.416290	166.155594	28.826780	153.196930	21.632441	131.576660
520.442810	35.193211	166.409286	28.899401	154.461975	21.299330	131.766479
521.297363	35.449970	166.832687	28.875931	154.810959	21.722460	131.475967
522.151978	35.018929	166.049149	29.576910	155.446960	21.041639	134.978119
523.006531	35.877090	165.632111	29.398729	154.226395	21.856819	132.489594
523.861084	35.148159	166.165085	30.157040	155.279877	20.848789	134.037430
524.715698	35.189739	166.804352	29.415831	155.452667	21.445339	133.141098
525.570251	35.514099	167.066360	29.391010	155.721054	20.959930	134.432846
526.424805	35.106972	166.021530	29.177540	154.145721	21.603519	133.493866
527.279419	34.995258	166.166718	29.580050	156.083252	21.430990	134.683167
528.133972	35.377121	165.836533	29.734131	154.852249	22.640100	133.308243
528.988525	35.721882	167.134399	29.668800	155.153595	22.512951	134.869904
529.843140	35.873631	166.868866	29.995541	155.478622	21.885099	136.450272
530.697693	35.774712	165.634354	29.900990	155.905670	21.992661	134.852921
531.552246	36.452969	166.523773	29.681170	155.777740	22.146040	135.781677
532.406860	36.238289	166.122055	30.318569	155.621735	21.830940	137.710815
533.261414	35.955971	165.933014	30.003710	156.079071	22.581350	136.223328
534.115967	35.159031	167.154633	30.250370	156.864624	22.643070	136.303421
534.970581	35.910240	166.937027	30.151979	157.381042	22.637381	136.625412
535.825134	36.214630	167.714081	30.305189	157.030365	22.438629	137.670166
536.679688	36.050110	167.942688	30.278450	157.093155	22.636511	138.891617
537.534302	36.292000	168.249023	30.503481	157.369034	22.667959	137.928955
538.388855	36.132000	167.973328	30.565941	157.548416	22.601870	138.671967
539.243408	36.337349	167.094116	30.751659	157.579956	22.607960	138.730103
540.098022	36.775890	167.685669	30.607321	157.510529	22.976870	138.529770
540.952576	36.894958	166.848740	30.459530	158.083649	23.206739	138.272552
541.807129	36.193722	167.196350	30.701000	158.090881	23.179501	139.507385
542.661743	36.823219	167.678772	30.574490	158.538681	22.693340	139.417114
543.516296	36.106129	167.957947	30.877390	158.676468	23.142450	140.337494
544.370850	36.619881	167.144165	30.795130	158.558472	23.201340	140.222458
545.225464	37.016029	166.897293	30.963240	158.363800	23.199770	141.626694
546.080017	36.542728	168.654907	31.375280	159.206345	23.199011	140.744431
546.954773	37.007881	168.222870	30.983971	158.880096	23.199089	141.141129
547.829529	36.212009	167.553070	31.039860	158.944809	23.064329	141.554825
548.704346	36.378979	168.168060	31.215389	159.187851	23.511230	141.831970
549.579102	36.927681	168.154617	31.314720	159.250763	23.347561	142.421875
550.453857	36.712959	167.769211	31.217110	159.449600	23.695311	142.368240
551.328613	36.539970	167.051743	31.677641	159.214523	23.275021	142.515808
552.203369	36.410091	168.519135	31.291580	159.915283	23.499941	143.038498
553.078125	36.698372	169.128555	31.381010	159.766205	23.824310	143.346375
553.952942	37.125420	168.380859	31.649771	160.462830	23.280371	144.412521
554.827698	36.707989	169.930786	31.357161	160.328049	23.926769	143.953125
555.702454	36.709721	169.408127	31.403259	160.050598	23.760160	144.466599
556.577209	36.353958	169.870789	31.592920	160.460220	23.645800	144.894363
557.451965	37.076061	167.040176	31.720110	160.624512	24.061741	144.915024
558.326782	36.658569	168.247574	31.758110	160.732681	23.939899	143.737015
559.201538	37.264172	169.821182	31.685089	160.684494	24.074930	144.948746
560.076294	37.064751	168.387177	31.909910	161.053253	23.890209	146.694427
560.951050	37.495480	169.515869	31.779610	161.618973	23.971729	145.942474
561.825806	37.008831	168.067505	31.669140	161.921570	23.844900	146.491913
562.700623	37.139648	169.049728	31.921709	161.271805	24.240919	146.522186
563.575378	37.841091	168.896072	32.176262	161.385040	24.128450	146.875549
564.450134	37.512730	168.796310	32.152611	161.872696	24.473379	147.240784
565.324890	37.196159	169.827438	31.781891	162.280426	24.291300	148.294312
566.199646	37.433449	169.496536	31.927111	162.341644	24.217871	147.861435
567.074402	37.119732	168.436935	32.052021	162.726471	24.434839	148.028763
567.949219	37.634319	169.905151	32.060581	162.504532	24.477831	148.070984
568.823975	37.241169	169.353516	32.043060	162.658081	24.501600	148.703278
569.698730	37.885090	169.311295	32.264530	163.189697	24.721710	148.778442
570.573486	37.633820	170.545303	32.341660	163.059311	24.464830	149.441025
571.448242	37.674641	170.395081	32.246552	163.185730	24.618601	149.945145
572.323059	37.900558	169.860992	32.380192	163.589157	24.422359	150.221527
573.197815	37.440529	170.207596	32.512180	163.255768	24.558170	150.651123
574.072571	37.577702	170.349655	32.474411	164.205719	24.662180	150.883957
574.947327	37.695660	170.464691	32.645481	163.969772	24.607510	151.159317
575.822083	37.634102	169.616241	32.747261	163.798111	24.812210	151.450775
576.696899	37.067242	170.708282	32.666790	163.977402	24.956961	151.450333
577.571655	37.823738	170.703537	32.402618	164.393936	24.609619	151.538177
578.446411	37.851212	171.309540	32.421890	164.327225	24.738091	151.720413
579.321167	37.664749	169.987961	32.636181	164.749039	24.919800	151.997269
580.195923	38.072151	170.846680	32.746441	164.752548	24.980499	152.732925
581.070679	37.727230	170.950531	32.772850	165.120651	24.852810	152.641968
581.945496	37.848770	170.959229	32.662560	165.166763	24.826229	152.966843
582.820251	38.044300	171.112625	32.755711	165.623947	25.031200	153.343094
583.695007	38.014400	171.161392	32.656170	165.081543	24.954140	153.364853
584.569763	38.203461	171.207977	32.770191	165.120697	25.189751	153.987381
585.444519	38.312500	171.028900	33.006359	165.792389	25.268990	154.448883
586.319336	38.595680	170.990860	33.136421	165.406708	25.215469	154.882095
587.194092	38.250610	171.156509	32.807652	165.508072	25.196110	155.301331
588.068848	38.281849	171.328217	32.677521	166.336960	25.223181	154.942184
588.943604	38.075699	170.593460	32.813030	165.894943	25.449511	155.496735
589.818359	38.116051	171.146179	32.884048	166.137894	25.277559	155.884201
590.693115	37.736240	172.387573	32.999470	167.077835	25.103081	156.153702
591.567932	38.041000	171.894348	32.933971	166.671219	25.468920	156.703873
592.442688	37.873909	171.451401	33.123829	166.789520	25.251181	156.873672
593.317444	38.648880	172.741714	33.150200	166.974594	25.438169	157.173035
594.192200	38.426392	171.657364	33.314468	167.308182	25.400990	157.747330
