Time Averaged IV scan
Frame ,1,Time,0.001
Electrode Voltage ,1.45292
Channel,1
Average Energy,286.958
Ion Flux,0.837485
trace ,1
V,I_1,dI/dE_1,
98.3371,-3.80922e-07,0,
99.3611,-3.8644e-07,0,
100.385,-3.89177e-07,0,
101.409,-3.87496e-07,-8.23903e-10,
102.433,-3.89877e-07,-2.73772e-10,
103.457,-3.87851e-07,-2.70268e-11,
104.481,-3.88934e-07,-1.05077e-10,
105.505,-3.89692e-07,-1.49281e-10,
106.529,-3.88257e-07,-6.91086e-11,
107.553,-3.88567e-07,-5.65349e-11,
108.577,-3.91673e-07,2.406e-10,
109.6,-3.87086e-07,2.88836e-10,
110.624,-3.88818e-07,4.52486e-11,
111.648,-3.87655e-07,2.13088e-10,
112.672,-3.88474e-07,-1.62697e-10,
113.696,-3.90641e-07,1.51645e-10,
114.72,-3.85844e-07,-1.4029e-10,
115.744,-3.89074e-07,-5.09932e-10,
116.768,-3.88167e-07,-8.637e-10,
117.792,-3.91253e-07,-1.31338e-09,
118.816,-3.91805e-07,-8.16814e-10,
119.84,-3.93113e-07,-6.49627e-10,
120.864,-3.94305e-07,7.18679e-11,
121.888,-3.91113e-07,4.54231e-11,
122.912,-3.93789e-07,3.89887e-10,
123.936,-3.90386e-07,2.08181e-10,
124.96,-3.94489e-07,4.80568e-11,
125.983,-3.88865e-07,-4.30392e-11,
127.007,-3.93295e-07,-4.85019e-10,
128.031,-3.92538e-07,-1.59053e-10,
129.055,-3.93361e-07,-1.68599e-10,
130.079,-3.93801e-07,3.32096e-10,
131.103,-3.91441e-07,4.59656e-10,
132.127,-3.91527e-07,2.3506e-10,
133.151,-3.92144e-07,-7.39603e-11,
134.175,-3.9038e-07,-3.11705e-10,
135.199,-3.9319e-07,-6.4896e-10,
136.223,-3.94108e-07,-5.33169e-10,
137.247,-3.91645e-07,-6.09197e-10,
138.271,-3.96273e-07,-4.12038e-10,
139.295,-3.94348e-07,-2.52593e-10,
140.319,-3.94542e-07,-3.93325e-10,
141.343,-3.95115e-07,-2.60506e-10,
142.366,-3.95472e-07,4.63688e-12,
143.39,-3.96512e-07,1.59462e-10,
144.414,-3.9638e-07,2.15767e-10,
145.438,-3.91056e-07,-5.04218e-11,
146.462,-3.95733e-07,-5.41451e-10,
147.486,-3.97658e-07,-4.38947e-10,
148.51,-3.95592e-07,-5.23733e-10,
149.534,-3.97351e-07,1.02833e-10,
150.558,-3.9562e-07,4.12244e-10,
151.582,-3.97912e-07,6.58392e-10,
152.606,-3.94188e-07,5.08985e-10,
153.63,-3.93436e-07,2.22137e-10,
154.654,-3.92849e-07,-6.2047e-10,
155.678,-3.98344e-07,-6.13428e-10,
156.702,-3.93798e-07,-6.21011e-10,
157.726,-4.01018e-07,-5.68936e-10,
158.749,-3.93195e-07,-1.21455e-10,
159.773,-3.98046e-07,-6.1766e-10,
160.797,-4.0074e-07,8.13785e-13,
161.821,-3.95866e-07,-1.04222e-10,
162.845,-3.98994e-07,2.64976e-10,
163.869,-3.9739e-07,3.38273e-10,
