Time Averaged IV scan
Frame ,1,Time,0
Electrode Voltage ,1.45654
Channel,1
Average Energy,281.102
Ion Flux,0.1579
trace ,1
V,I_1,dI/dE_1,
240.659,-9.85655e-08,7.12681e-12,
241.683,-1.01644e-07,-5.62826e-10,
242.707,-1.05146e-07,-4.6546e-10,
243.731,-1.02747e-07,-3.54423e-10,
244.755,-1.02046e-07,1.06307e-10,
245.779,-1.03264e-07,4.79849e-10,
246.803,-1.044e-07,3.5609e-10,
247.828,-1.00566e-07,4.72043e-10,
248.852,-9.90766e-08,2.34742e-10,
249.876,-1.04039e-07,-1.07742e-10,
250.9,-1.00794e-07,-1.27817e-10,
251.924,-1.00513e-07,-1.20555e-10,
252.948,-1.0406e-07,2.93699e-10,
253.972,-1.0068e-07,4.09631e-10,
254.996,-1.00651e-07,4.18996e-10,
256.02,-1.00405e-07,5.16111e-10,
257.044,-9.92761e-08,3.85809e-10,
258.068,-1.00422e-07,5.00772e-10,
259.092,-9.93503e-08,2.92865e-10,
260.116,-9.72227e-08,-3.74558e-12,
261.141,-9.76055e-08,-4.21998e-10,
262.165,-1.01676e-07,-4.91744e-10,
263.189,-9.98125e-08,-2.17175e-10,
264.213,-1.00692e-07,2.1669e-10,
265.237,-9.9717e-08,8.52483e-10,
266.261,-9.87644e-08,9.01855e-10,
267.285,-9.79501e-08,1.07334e-09,
268.309,-9.49902e-08,1.20947e-09,
269.333,-9.61983e-08,1.61973e-09,
270.357,-9.47947e-08,1.74737e-09,
271.381,-9.05754e-08,1.41629e-09,
272.405,-8.643e-08,1.2662e-09,
273.429,-9.06601e-08,7.06514e-10,
274.454,-9.14886e-08,1.08361e-09,
275.478,-8.38595e-08,1.26821e-09,
276.502,-8.77696e-08,1.52821e-09,
277.526,-8.27199e-08,1.78757e-09,
278.55,-8.25042e-08,1.52257e-09,
279.574,-8.2004e-08,2.38935e-09,
280.598,-7.66421e-08,2.49608e-09,
281.622,-7.69921e-08,2.57078e-09,
282.646,-6.99969e-08,2.42691e-09,
283.67,-6.95649e-08,1.85584e-09,
284.694,-6.99964e-08,1.56427e-09,
285.718,-6.62528e-08,1.56915e-09,
286.742,-6.45756e-08,1.89804e-09,
287.767,-6.65023e-08,2.3033e-09,
288.791,-5.91971e-08,2.54244e-09,
289.815,-5.67898e-08,2.48382e-09,
290.839,-5.65328e-08,2.39168e-09,
291.863,-5.27643e-08,2.03087e-09,
292.887,-5.04545e-08,1.82017e-09,
293.911,-4.98793e-08,1.94775e-09,
294.935,-4.72288e-08,1.81823e-09,
295.959,-4.66109e-08,1.91382e-09,
296.983,-4.19761e-08,1.58239e-09,
298.007,-4.2167e-08,1.09643e-09,
299.031,-3.99006e-08,1.02698e-09,
300.055,-4.22054e-08,1.02658e-09,
